Model,Actual_PM2.5,Predicted_PM2.5,RMSE,MAE,R²
Gradient Boosting,58.738,62.75801445,,,
Gradient Boosting,10.36,10.59844893,,,
Gradient Boosting,2.59,2.749299981,,,
Gradient Boosting,45.2,45.58346546,,,
Gradient Boosting,4.5,5.240152184,,,
Gradient Boosting,35.705,41.99162788,,,
Gradient Boosting,8.14,8.034940906,,,
Gradient Boosting,6.1,6.945532946,,,
Gradient Boosting,47.36,48.15210427,,,
Gradient Boosting,25.2,22.21147918,,,
Gradient Boosting,3.1,5.393997951,,,
Gradient Boosting,1.8,2.466060792,,,
Gradient Boosting,6.105,6.365304071,,,
Gradient Boosting,8.4,7.796036506,,,
Gradient Boosting,1.4,2.461893365,,,
Gradient Boosting,28.675,20.57609992,,,
Gradient Boosting,1.1,2.037883314,,,
Gradient Boosting,6.9,7.83451834,,,
Gradient Boosting,1.9,2.444508061,,,
Gradient Boosting,4.44,4.135680804,,,
Gradient Boosting,10.545,12.13722628,,,
Gradient Boosting,4.5,4.272998108,,,
Gradient Boosting,81.77,70.36616001,,,
Gradient Boosting,11,7.36710196,,,
Gradient Boosting,3.3,3.970757095,,,
Gradient Boosting,3.4,2.956350441,,,
Gradient Boosting,22.015,20.06248933,,,
Gradient Boosting,20.165,21.94569319,,,
Gradient Boosting,10.5,12.3647061,,,
Gradient Boosting,8.7,8.339305649,,,
Gradient Boosting,51.6,51.84233086,,,
Gradient Boosting,11.6,13.56915856,,,
Gradient Boosting,4.07,2.93318047,,,
Gradient Boosting,11.655,11.46447823,,,
Gradient Boosting,9.25,10.01298596,,,
Gradient Boosting,25.345,23.33499452,,,
Gradient Boosting,0.7,-5.25069614,,,
Gradient Boosting,3.5,5.252710704,,,
Gradient Boosting,14.985,14.05548002,,,
Gradient Boosting,121.545,128.8528617,,,
Gradient Boosting,5.7,6.074038198,,,
Gradient Boosting,13.135,12.42882436,,,
Gradient Boosting,2.22,3.146037915,,,
Gradient Boosting,10.545,9.013632634,,,
Gradient Boosting,45.14,47.7972164,,,
Gradient Boosting,29.415,29.16309385,,,
Gradient Boosting,6.3,6.440243454,,,
Gradient Boosting,0.5,0.4406698009,,,
Gradient Boosting,36.6,39.88197406,,,
Gradient Boosting,2,2.127654059,,,
Gradient Boosting,1.4,1.431516618,,,
Gradient Boosting,0.5,-0.3924965207,,,
Gradient Boosting,1.3,1.384236398,,,
Gradient Boosting,3.1,2.988812193,,,
Gradient Boosting,86.395,86.20160552,,,
Gradient Boosting,16.65,22.75673645,,,
Gradient Boosting,1,3.354689705,,,
Gradient Boosting,12.95,11.22512663,,,
Gradient Boosting,14.06,15.47629324,,,
Gradient Boosting,5.55,5.414413436,,,
Gradient Boosting,40.145,38.69455088,,,
Gradient Boosting,15.355,15.39380702,,,
Gradient Boosting,2.9,2.143033038,,,
Gradient Boosting,23.125,33.20018052,,,
Gradient Boosting,26.455,28.00939998,,,
Gradient Boosting,2.4,3.456957095,,,
Gradient Boosting,4,2.145579289,,,
Gradient Boosting,21.46,15.82314374,,,
Gradient Boosting,11.285,11.8723635,,,
Gradient Boosting,9.065,7.22402315,,,
Gradient Boosting,14.615,13.8321078,,,
Gradient Boosting,5.1,6.858514902,,,
Gradient Boosting,8,6.344087195,,,
Gradient Boosting,0.6,1.111886364,,,
Gradient Boosting,14.615,14.67363561,,,
Gradient Boosting,30.895,25.93907164,,,
Gradient Boosting,30.71,28.42183375,,,
Gradient Boosting,68.635,68.71731041,,,
Gradient Boosting,45.51,41.00914191,,,
Gradient Boosting,1.2,1.097687098,,,
Gradient Boosting,16.65,17.04469445,,,
Gradient Boosting,21.645,20.77060203,,,
Gradient Boosting,25.2,29.02237607,,,
Gradient Boosting,4.958,8.721302243,,,
Gradient Boosting,6.475,6.892985914,,,
Gradient Boosting,2,2.55925733,,,
Gradient Boosting,8.4,10.21286556,,,
Gradient Boosting,16.095,14.98205433,,,
Gradient Boosting,7.77,8.737573071,,,
Gradient Boosting,1.4,0.9412277144,,,
Gradient Boosting,35.52,35.73485744,,,
Gradient Boosting,1.4,1.991322965,,,
Gradient Boosting,6.1,4.066899937,,,
Gradient Boosting,1.9,3.023041359,,,
Gradient Boosting,30.1,36.33786971,,,
Gradient Boosting,9.065,11.89534935,,,
Gradient Boosting,1.9,1.251972609,,,
Gradient Boosting,3.7,5.487966212,,,
Gradient Boosting,24.3,19.49858066,,,
Gradient Boosting,8.282,8.856772806,,,
Gradient Boosting,56.61,55.12528619,,,
Gradient Boosting,7.1,8.5976788,,,
Gradient Boosting,91.575,101.7051031,,,
Gradient Boosting,15.725,17.1408234,,,
Gradient Boosting,50.505,35.18907354,,,
Gradient Boosting,9.805,15.23391169,,,
Gradient Boosting,18.315,17.01656126,,,
Gradient Boosting,19.24,20.53655461,,,
Gradient Boosting,3.33,0.9907855165,,,
Gradient Boosting,33.855,32.77808985,,,
Gradient Boosting,3.885,6.585224849,,,
Gradient Boosting,15.2,18.97243817,,,
